COMPANY_CD,FINANCIAL_YEAR,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,BU_UNIT,PLANT_SEQ,INVOICE_NO,INVOICE_SEQ,INVOICE_ID_SEQ,DR_CR_REF_NO,DR_CR_NO,CRITERIA,DR_CR_FLAG,DR_CR_SEQ,ITEM_DESCRIPTION,LINE_SEQ,ITEM_CD,ITEM_EFF_DT,ITEM_AMT,ITEM_DIFF_AMT,ITEM_DIFF_VALUE
HGL-RLNG,2021-2022,2-0,1,0,2,0,S,1,1,S0115/21-22,115,115,D016/21-22,D016/21-22,10,DR,null, Imbalance / Overrun Charges ,1,10,null,null,null,null
HGL-RLNG,2021-2022,2-0,1,0,2,0,S,1,1,S0131/21-22,131,131,D019/21-22,D019/21-22,10,DR,null,Imbalance / Overrun Charges,1,10,null,null,null,null
HGL-RLNG,2021-2022,01,1,0,1,0,S,1,1,S0008/21-22,8,8,D010/21-22,D010/21-22,10,DR,null, Imbalance Charges ,1,10,null,null,null,null
HGL-RLNG,2021-2022,01,1,0,1,0,S,1,1,S0022/21-22,22,22,D011/21-22,D011/21-22,10,DR,null, Imbalance Charges,1,10,null,null,null,null
HGL-RLNG,2021-2022,2-0,1,0,2,0,S,1,1,S0143/21-22,143,143,D021/21-22,D021/21-22,10,DR,null, Imbalance / Overrun Charges ,1,10,null,null,null,null
HGL-RLNG,2021-2022,2-0,1,0,2,0,S,1,1,S0151/21-22,151,151,D023/21-22,D023/21-22,10,DR,null, Imbalance / Overrun Charges / Ship or Pay,1,10,null,null,null,null
HGL-RLNG,2021-2022,2-0,1,0,2,0,S,1,1,S0168/21-22,168,168,D025/21-22,D025/21-22,10,DR,null,Imbalance / Overrun Charges,1,10,null,null,null,null
HGL-RLNG,2021-2022,2-0,1,0,2,0,S,1,1,S0180/21-22,180,180,D026/21-22,D026/21-22,10,DR,null, Imbalance / Overrun Charges,1,10,null,null,null,null
HGL-RLNG,2021-2022,2-0,1,0,2,0,S,1,1,S0195/21-22,195,195,D028/21-22,D028/21-22,10,DR,null, Imbalance / Overrun Charges ,1,10,null,null,null,null
HGL-RLNG,2021-2022,2-0,1,0,2,0,S,1,1,S0199/21-22,199,199,D030/21-22,D030/21-22,10,DR,null, Imbalance / Overrun Charges / Ship or Pay,1,10,null,null,null,null
HGL-RLNG,2021-2022,2-0,1,0,2,0,S,1,1,S0124/21-22,124,124,D017/21-22,D017/21-22,10,DR,null, Imbalance / Overrun Charges ,1,10,null,null,null,null
