COMPANY_CD,FINANCIAL_YEAR,BU_STATE_TIN,INVOICE_SEQ,INVOICE_TYPE,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT,SF_GEN_DT
AMNS,2020-2021,332,L00332/20-21,LP,D,INVOICE-08102020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-332,23,10/10/2020 00:00:00,null,null,null,null,null,null,null,null
AMNS,2020-2021,333,L00333/20-21,LP,O,INVOICE-08102020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-333,23,10/10/2020 00:00:00,null,null,null,null,null,null,null,null
AMNS,2020-2021,333,L00333/20-21,LP,D,INVOICE-08102020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-333,23,10/10/2020 00:00:00,null,null,null,null,null,null,null,null
AMNS,2021-2022,206,L00206/21-22,LP,O,INVOICE-07012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-206,23,07/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,07/01/2022 00:00:00,null,null,null
AMNS,2021-2022,206,L00206/21-22,LP,D,INVOICE-07012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-206,23,07/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,07/01/2022 00:00:00,null,null,null
AMNS,2021-2022,206,L00206/21-22,LP,T,INVOICE-07012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-206,23,07/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,07/01/2022 00:00:00,null,null,null
AMNS,2020-2021,334,L00334/20-21,LP,O,INVOICE-08102020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-334,23,10/10/2020 00:00:00,null,null,null,null,null,null,null,null
AMNS,2020-2021,334,L00334/20-21,LP,D,INVOICE-08102020-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-334,23,10/10/2020 00:00:00,null,null,null,null,null,null,null,null
AMNS,2021-2022,205,L00205/21-22,LP,O,INVOICE-07012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-205,23,07/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,07/01/2022 00:00:00,null,null,null
AMNS,2021-2022,205,L00205/21-22,LP,D,INVOICE-07012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-205,23,07/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,07/01/2022 00:00:00,null,null,null
AMNS,2021-2022,205,L00205/21-22,LP,T,INVOICE-07012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-205,23,07/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,07/01/2022 00:00:00,null,null,null
AMNS,2021-2022,203,L00203/21-22,LP,O,INVOICE-29122021-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-203,23,29/12/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,29/12/2021 00:00:00,null,null,null
AMNS,2021-2022,203,L00203/21-22,LP,D,INVOICE-29122021-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-203,23,29/12/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,29/12/2021 00:00:00,null,null,null
AMNS,2021-2022,203,L00203/21-22,LP,T,INVOICE-29122021-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-203,23,29/12/2021 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,29/12/2021 00:00:00,null,null,null
AMNS,2021-2022,211,L00211/21-22,LP,O,INVOICE-13012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-211,23,13/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,13/01/2022 00:00:00,null,null,null
AMNS,2021-2022,211,L00211/21-22,LP,D,INVOICE-13012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-211,23,13/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,13/01/2022 00:00:00,null,null,null
AMNS,2021-2022,211,L00211/21-22,LP,T,INVOICE-13012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-211,23,13/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,13/01/2022 00:00:00,null,null,null
AMNS,2021-2022,213,L00213/21-22,LP,D,INVOICE-21012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-213,6,21/01/2022 00:00:00,null,null,Y,ROHIT MALHOTRA,21/01/2022 00:00:00,null,null,null
AMNS,2021-2022,213,L00213/21-22,LP,T,INVOICE-21012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-213,113,21/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,27/01/2022 00:00:00,null,null,null
AMNS,2021-2022,213,L00213/21-22,LP,O,INVOICE-21012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-213,6,21/01/2022 00:00:00,null,null,Y,ROHIT MALHOTRA,21/01/2022 00:00:00,null,null,null
AMNS,2021-2022,217,L00217/21-22,LP,O,INVOICE-27012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-217,49,27/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,27/01/2022 00:00:00,null,null,null
AMNS,2021-2022,217,L00217/21-22,LP,D,INVOICE-27012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-217,49,27/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,27/01/2022 00:00:00,null,null,null
AMNS,2021-2022,217,L00217/21-22,LP,T,INVOICE-27012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-217,49,27/01/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,27/01/2022 00:00:00,null,null,null
AMNS,2021-2022,219,L00219/21-22,LP,O,INVOICE-31012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-219,49,01/02/2022 00:00:00,null,null,null,null,null,null,null,null
AMNS,2021-2022,219,L00219/21-22,LP,D,INVOICE-31012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-219,49,01/02/2022 00:00:00,null,null,null,null,null,null,null,null
AMNS,2021-2022,219,L00219/21-22,LP,T,INVOICE-31012022-AMNS-ARCELORMITTAL_NIPPON_STEEL_INDIA_LIMITED-M-219,49,01/02/2022 00:00:00,null,null,null,null,null,null,null,null
