COMPANY_CD,INVOICE_SEQ,INVOICE_TYPE,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,PDF_CONTENT,SF_GEN_DT,SIGNED_ENT_BY,SUPPLIER_CD
2,00040/2018-19/P,HSA,2018-2019,D,INVOICE-1-2018-2019-40-2-D.pdf,null,04/09/2018,null,null,null,null,null,null,null,null,1
2,00040/2018-19/P,HSA,2018-2019,O,INVOICE-1-2018-2019-40-2-O.pdf,null,04/09/2018,null,null,null,null,null,null,null,null,1
2,00040/2019-20/P,HSA,2019-2020,D,INVOICE-1-2019-2020-40-2-D.pdf,null,13/08/2019,null,null,null,null,null,null,null,null,1
2,00040/2019-20/P,HSA,2019-2020,O,INVOICE-1-2019-2020-40-2-O.pdf,null,13/08/2019,null,null,null,null,null,null,null,null,1
2,00041/19-20,SFA,2019-2020,D,INVOICE-Z-2019-2020-41-1-D.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00041/19-20,SFA,2019-2020,O,INVOICE-Z-2019-2020-41-1-O.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00041/19-20,SFA,2019-2020,T,INVOICE-Z-2019-2020-41-1-T.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00041/2017-18/P,HS,2017-2018,D,INVOICE-2-2017-2018-41-2-D.pdf,null,01/03/2018,null,null,null,null,null,null,null,null,1
2,00041/2017-18/P,HS,2017-2018,O,INVOICE-2-2017-2018-41-2-O.pdf,null,01/03/2018,null,null,null,null,null,null,null,null,1
2,00041/2018-19/P,HSA,2018-2019,D,INVOICE-1-2018-2019-41-2-D.pdf,null,10/09/2018,null,null,null,null,null,null,null,null,1
2,00041/2018-19/P,HSA,2018-2019,O,INVOICE-1-2018-2019-41-2-O.pdf,null,10/09/2018,null,null,null,null,null,null,null,null,1
2,00041/2019-20/P,HSA,2019-2020,D,INVOICE-1-2019-2020-41-2-D.pdf,null,13/08/2019,null,null,null,null,null,null,null,null,1
2,00041/2019-20/P,HSA,2019-2020,O,INVOICE-1-2019-2020-41-2-O.pdf,null,13/08/2019,null,null,null,null,null,null,null,null,1
2,00042/19-20,SFA,2019-2020,D,INVOICE-Z-2019-2020-42-1-D.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00042/19-20,SFA,2019-2020,O,INVOICE-Z-2019-2020-42-1-O.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00042/19-20,SFA,2019-2020,T,INVOICE-Z-2019-2020-42-1-T.pdf,null,29/04/2019,null,null,null,null,null,null,null,null,2
2,00042/2017-18/P,HSA,2017-2018,D,INVOICE-1-2017-2018-42-2-D.pdf,null,28/02/2018,null,null,null,null,null,null,null,null,1
2,00042/2017-18/P,HSA,2017-2018,O,INVOICE-1-2017-2018-42-2-O.pdf,null,28/02/2018,null,null,null,null,null,null,null,null,1
2,00042/2018-19/P,HSA,2018-2019,D,INVOICE-1-2018-2019-42-2-D.pdf,null,12/09/2018,null,null,null,null,null,null,null,null,1
2,00042/2018-19/P,HSA,2018-2019,O,INVOICE-1-2018-2019-42-2-O.pdf,null,12/09/2018,null,null,null,null,null,null,null,null,1
