

<<ROLLBACK_START>>,<<FMS_SUPPLY_ALLOC_REVISED>>,,,,,,,, 	(01-MAY-2025 13:14:00)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,MODIFICATION_SEQ_NO,PUR_CONT, TIMESTAMP
2,3,1,3,3,0,S,1,725012, 	(01-MAY-2025 13:14:01)
2,3,1,3,10,0,S,1,725021, 	(01-MAY-2025 13:14:01)
2,3,1,3,15,0,S,1,725027, 	(01-MAY-2025 13:14:01)
2,3,1,3,100,1,S,1,725108, 	(01-MAY-2025 13:14:01)
2,3,1,3,102,1,S,1,725111, 	(01-MAY-2025 13:14:01)
2,3,1,3,92,0,S,1,725100, 	(01-MAY-2025 13:14:01)
2,3,1,3,55,0,S,1,725069, 	(01-MAY-2025 13:14:01)
2,3,1,3,75,1,S,1,725082, 	(01-MAY-2025 13:14:01)
2,3,1,3,14,0,S,1,725028, 	(01-MAY-2025 13:14:01)
2,3,1,3,19,0,S,1,725030, 	(01-MAY-2025 13:14:01)
2,3,1,3,117,0,S,1,825025, 	(01-MAY-2025 13:14:01)
2,3,1,3,107,0,S,1,725139, 	(01-MAY-2025 13:14:01)
2,3,1,3,122,0,S,1,825090, 	(01-MAY-2025 13:14:01)
2,3,1,3,22,0,S,1,725187, 	(01-MAY-2025 13:14:01)
2,3,1,3,24,0,S,1,725188, 	(01-MAY-2025 13:14:01)
2,3,1,3,25,0,S,1,725036, 	(01-MAY-2025 13:14:01)
2,3,1,3,35,0,S,1,725190, 	(01-MAY-2025 13:14:01)
2,3,1,3,70,1,S,1,725208, 	(01-MAY-2025 13:14:01)
2,3,1,3,84,0,S,1,725212, 	(01-MAY-2025 13:14:01)
2,3,1,3,45,0,S,1,725196, 	(01-MAY-2025 13:14:01)
2,3,1,3,47,0,S,1,725196, 	(01-MAY-2025 13:14:01)
2,3,1,3,49,0,S,1,725066, 	(01-MAY-2025 13:14:01)
2,3,1,3,54,0,S,1,725202, 	(01-MAY-2025 13:14:01)
2,3,1,3,69,0,S,1,725208, 	(01-MAY-2025 13:14:01)
2,3,1,3,74,0,S,1,725207, 	(01-MAY-2025 13:14:01)
2,3,1,3,4,0,S,1,725011, 	(01-MAY-2025 13:14:01)
2,3,1,3,4,0,S,1,725012, 	(01-MAY-2025 13:14:01)
2,3,1,3,5,0,S,1,725013, 	(01-MAY-2025 13:14:01)
2,3,1,3,5,0,S,1,725014, 	(01-MAY-2025 13:14:01)
2,3,1,3,17,0,S,1,725031, 	(01-MAY-2025 13:14:01)
2,3,1,3,55,0,S,1,725202, 	(01-MAY-2025 13:14:01)
2,3,1,3,20,0,S,1,725032, 	(01-MAY-2025 13:14:01)
2,3,1,3,20,0,S,1,725035, 	(01-MAY-2025 13:14:01)
2,3,1,3,106,0,S,1,725135, 	(01-MAY-2025 13:14:01)
2,3,1,3,116,0,S,1,725146, 	(01-MAY-2025 13:14:01)
2,3,1,3,117,0,S,1,825027, 	(01-MAY-2025 13:14:01)
2,3,1,3,123,0,S,1,725172, 	(01-MAY-2025 13:14:01)
2,3,1,3,102,2,S,1,725111, 	(01-MAY-2025 13:14:01)
2,3,1,3,21,0,S,1,725032, 	(01-MAY-2025 13:14:01)
2,3,1,3,21,0,S,1,725184, 	(01-MAY-2025 13:14:01)
2,3,1,3,27,0,S,1,725036, 	(01-MAY-2025 13:14:01)
2,3,1,3,76,1,S,1,725082, 	(01-MAY-2025 13:14:01)
2,3,1,3,81,0,S,1,725212, 	(01-MAY-2025 13:14:01)
2,3,1,3,83,0,S,1,725212, 	(01-MAY-2025 13:14:01)
2,3,1,3,42,0,S,1,725055, 	(01-MAY-2025 13:14:01)
2,3,1,3,42,0,S,1,725197, 	(01-MAY-2025 13:14:01)
2,3,1,3,43,0,S,1,725065, 	(01-MAY-2025 13:14:01)
2,3,1,3,44,0,S,1,725056, 	(01-MAY-2025 13:14:01)
2,3,1,3,48,0,S,1,725196, 	(01-MAY-2025 13:14:01)
2,3,1,3,50,0,S,1,725066, 	(01-MAY-2025 13:14:01)
2,3,1,3,54,0,S,1,725200, 	(01-MAY-2025 13:14:01)
2,3,1,3,59,0,S,1,725071, 	(01-MAY-2025 13:14:01)
2,3,1,3,66,0,S,1,725205, 	(01-MAY-2025 13:14:01)
2,3,1,3,70,0,S,1,725208, 	(01-MAY-2025 13:14:01)
2,3,1,3,71,0,S,1,725208, 	(01-MAY-2025 13:14:01)
2,3,1,3,76,0,S,1,725082, 	(01-MAY-2025 13:14:01)
2,3,2,0,1,0,S,1,725006, 	(01-MAY-2025 13:14:01)
2,3,2,0,2,0,S,1,725178, 	(01-MAY-2025 13:14:01)
2,3,1,3,1,0,S,1,725008, 	(01-MAY-2025 13:14:01)
2,3,1,3,2,0,S,1,725012, 	(01-MAY-2025 13:14:01)
2,3,1,3,3,0,S,1,725011, 	(01-MAY-2025 13:14:01)
2,3,1,3,6,0,S,1,725015, 	(01-MAY-2025 13:14:01)
2,3,1,3,7,0,S,1,725016, 	(01-MAY-2025 13:14:01)
2,3,1,3,15,0,S,1,725026, 	(01-MAY-2025 13:14:01)
2,3,1,3,55,0,S,1,725067, 	(01-MAY-2025 13:14:01)
2,3,1,3,20,0,S,1,725034, 	(01-MAY-2025 13:14:01)
2,3,1,3,112,0,S,1,725150, 	(01-MAY-2025 13:14:01)
2,3,1,4,124,0,S,1,725174, 	(01-MAY-2025 13:14:01)
2,3,1,4,125,0,S,1,825057, 	(01-MAY-2025 13:14:01)
2,3,1,3,22,0,S,1,725186, 	(01-MAY-2025 13:14:01)
