

<<ROLLBACK_START>>,<<FMS_COUNTERPARTY_ADDR_MST>>,,, 	(28-FEB-2025 11:35:05)
 
COMPANY_CD,CD,ABBR,EFF_DT,TIMESTAMP>
2,168 , R , 18/05/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,120 , R , 26/05/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,122 , R , 01/06/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,182 , R , 12/06/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,174 , R , 20/06/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,251 , R , 30/06/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,278 , R , 01/04/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,108 , R , 05/07/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,161 , R , 16/08/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,181 , R , 21/09/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,183 , R , 27/09/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,184 , R , 28/09/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,112 , R , 02/10/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,170 , R , 04/10/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,179 , R , 05/10/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,113 , R , 11/10/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,171 , R , 24/10/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,172 , R , 15/12/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,123 , R , 20/12/2023 00:00:00, 	(28-FEB-2025 11:35:47)
2,121 , R , 19/01/2024 00:00:00, 	(28-FEB-2025 11:35:47)
2,115 , R , 21/02/2024 00:00:00, 	(28-FEB-2025 11:35:47)
2,114 , R , 14/02/2024 00:00:00, 	(28-FEB-2025 11:35:47)
2,119 , R , 23/02/2024 00:00:00, 	(28-FEB-2025 11:35:47)
2,177 , R , 11/03/2024 00:00:00, 	(28-FEB-2025 11:35:47)
2,175 , R , 03/04/2024 00:00:00, 	(28-FEB-2025 11:35:47)
2,118 , R , 05/04/2024 00:00:00, 	(28-FEB-2025 11:35:47)
2,130 , R , 01/07/2024 00:00:00, 	(28-FEB-2025 11:35:47)
2,132 , R , 23/07/2024 00:00:00, 	(28-FEB-2025 11:35:47)
2,215 , R , 06/08/2024 00:00:00, 	(28-FEB-2025 11:35:47)
