EFF_DT,SHIP_CD,SHIP_NAME,TIMESTAMP
01/01/2007 00:00:00 , 226 , TRINITY GLORY, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 227 , GDF Suez Cape Ann, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 228 , Iberica Knutsen, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 229 , Methane Lydon Volney, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 230 , Methane Rita Andrea, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 231 , Catalunya Spirit, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 232 , Tembek, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 233 , Maersk Magellan, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 234 , Gemmata, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 235 , Galeomma, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 236 , Gallina, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 237 , LNG River Niger, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 238 , Nizwa LNG, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 239 , Muscat LNG, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 240 , Castillo De Villalba, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 241 , Maersk Qatar, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 242 , Seri Balqis, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 243 , Excallibur, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 244 , Seri Angkasa, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 245 , Grandis, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 246 , Ibra LNG, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 247 , Golar Frost, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 248 , Clean Power, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 249 , Arwa Spirit, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 250 , Zekreet, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 251 , Milaha Ras Laffan, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 252 , ONAIZA, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 253 , Al Aamriya, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 254 , Al Daayen, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 255 , Al Thumama, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 256 , Fraiha, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 257 , LNG Rivers, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 258 , GDF SUEZ Point Fortin, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 259 , Al Shamal, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 260 , Al Sheehaniya, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 261 , LNG AKWA IBOM, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 262 , Madrid Spirit, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 263 , Clean Ocean, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 264 , SEISHU MARU, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 265 , Valencia Knutsen, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 266 , Golar Spirit, 	(12-MAR-2025 18:06:22)
01/01/2007 00:00:00 , 267 , LNG Kano, 	(12-MAR-2025 18:06:22)
