

<<ROLLBACK_START>>,<<FMS_EXCHG_RATE_ENTRY()>>, 	(18-FEB-2025 15:09:14)
 
EXCHG_RATE_CD,EFF_DT,TIMESTAMP
15,16/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,16/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,17/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,17/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,17/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,18/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,19/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,19/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,19/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,18/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,18/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,20/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,20/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,20/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,23/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,23/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,23/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,24/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,24/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,24/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,25/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,25/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,25/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,26/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,26/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,26/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,27/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,27/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,27/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
15,30/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,30/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
14,30/04/2007 00:00:00, 	(18-FEB-2025 15:09:15)
13,01/05/2007 00:00:00, 	(18-FEB-2025 15:09:16)
15,01/05/2007 00:00:00, 	(18-FEB-2025 15:09:16)
14,01/05/2007 00:00:00, 	(18-FEB-2025 15:09:16)
13,02/05/2007 00:00:00, 	(18-FEB-2025 15:09:16)
15,02/05/2007 00:00:00, 	(18-FEB-2025 15:09:16)
14,02/05/2007 00:00:00, 	(18-FEB-2025 15:09:16)
15,03/05/2007 00:00:00, 	(18-FEB-2025 15:09:16)
13,03/05/2007 00:00:00, 	(18-FEB-2025 15:09:16)
14,03/05/2007 00:00:00, 	(18-FEB-2025 15:09:16)
13,04/05/2007 00:00:00, 	(18-FEB-2025 15:09:16)
15,04/05/2007 00:00:00, 	(18-FEB-2025 15:09:16)
14,04/05/2007 00:00:00, 	(18-FEB-2025 15:09:16)
13,07/05/2007 00:00:00, 	(18-FEB-2025 15:09:16)
15,07/05/2007 00:00:00, 	(18-FEB-2025 15:09:16)
14,07/05/2007 00:00:00, 	(18-FEB-2025 15:09:16)
13,08/05/2007 00:00:00, 	(18-FEB-2025 15:09:16)
15,08/05/2007 00:00:00, 	(18-FEB-2025 15:09:16)
