

<<START>>,<<FMS_COUNTERPARTY_ADDR_MST>>,,, 	(28-FEB-2025 11:35:40)
 
CD,ABBR,ADDRESS_TYPE,EFF_DT,TIMESTAMP
251 , PIINDUS  , R , 30/06/2023 00:00:00, 	(28-FEB-2025 11:35:41)
278 , SEMTEXP , R , 01/04/2023 00:00:00, 	(28-FEB-2025 11:35:41)
108 , GRINDUS , R , 05/07/2023 00:00:00, 	(28-FEB-2025 11:35:41)
161 , ATCATMO , R , 16/08/2023 00:00:00, 	(28-FEB-2025 11:35:41)
 , POSCO MAHA , R , 29/08/2023 00:00:00, 	(28-FEB-2025 11:35:41)	 (Not Inserted)
181 , SANENER , R , 21/09/2023 00:00:00, 	(28-FEB-2025 11:35:41)
183 , SUMGLAS , R , 27/09/2023 00:00:00, 	(28-FEB-2025 11:35:41)
184 , SVTPLIN , R , 28/09/2023 00:00:00, 	(28-FEB-2025 11:35:41)
112 , SPSSETL1 , R , 02/10/2023 00:00:00, 	(28-FEB-2025 11:35:41)
170 , INPOWGL , R , 04/10/2023 00:00:00, 	(28-FEB-2025 11:35:41)
179 , PRPWCRP , R , 05/10/2023 00:00:00, 	(28-FEB-2025 11:35:41)
