

<<START>>,<<FMS_TRUCK_TRANSPORTER_LINK>>,,, 	(07-JUN-2025 09:45:17)
 
ENT_PROFILE,TRUCK_TRANS_CD,TRUCK_CD,EFF_DT,LINK_SEQ,TIMESTAMP,
2,6,84,03/09/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,12,25,04/09/2023 00:00:00,7, 	(07-JUN-2025 09:45:18)
2,16,102,05/09/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,15,82,05/09/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,12,59,05/09/2023 00:00:00,6, 	(07-JUN-2025 09:45:18)
2,11,56,06/09/2023 00:00:00,6, 	(07-JUN-2025 09:45:18)
2,6,84,15/09/2023 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,2,44,15/09/2023 00:00:00,6, 	(07-JUN-2025 09:45:18)
2,12,42,18/09/2023 00:00:00,12, 	(07-JUN-2025 09:45:18)
2,12,47,26/09/2023 00:00:00,6, 	(07-JUN-2025 09:45:18)
2,12,115,29/09/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,12,116,30/09/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,2,25,02/10/2023 00:00:00,8, 	(07-JUN-2025 09:45:18)
2,12,47,04/10/2023 00:00:00,7, 	(07-JUN-2025 09:45:18)
2,6,13,04/10/2023 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,15,87,06/10/2023 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,12,106,07/10/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,12,107,09/10/2023 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,12,117,13/10/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,12,116,14/10/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,4,118,14/10/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,12,119,20/10/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,15,87,23/10/2023 00:00:00,5, 	(07-JUN-2025 09:45:18)
2,16,101,23/10/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,6,13,30/10/2023 00:00:00,5, 	(07-JUN-2025 09:45:18)
2,12,115,30/10/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,6,92,31/10/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,16,120,01/11/2023 00:00:00,1, 	(07-JUN-2025 09:45:18)
2,4,17,02/11/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,8,20,02/11/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,12,47,05/11/2023 00:00:00,8, 	(07-JUN-2025 09:45:18)
2,6,92,06/11/2023 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,4,17,15/11/2023 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,12,43,18/11/2023 00:00:00,14, 	(07-JUN-2025 09:45:18)
2,4,114,20/11/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,2,41,23/11/2023 00:00:00,8, 	(07-JUN-2025 09:45:18)
2,4,23,26/11/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
2,2,40,29/11/2023 00:00:00,4, 	(07-JUN-2025 09:45:18)
2,12,107,29/11/2023 00:00:00,5, 	(07-JUN-2025 09:45:18)
2,16,120,30/11/2023 00:00:00,2, 	(07-JUN-2025 09:45:18)
2,12,42,04/12/2023 00:00:00,13, 	(07-JUN-2025 09:45:18)
2,12,49,05/12/2023 00:00:00,5, 	(07-JUN-2025 09:45:18)
2,16,120,11/12/2023 00:00:00,3, 	(07-JUN-2025 09:45:18)
