

<<START>>,<<FMS_GTA_SG_INV_MST>>,, 	(01-SEP-2025 14:11:50)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, TRANS_BU_UNIT, BU_UNIT, FREQ, PERIOD_START_DT, PERIOD_END_DT, INVOICE_TYPE, INVOICE_SEQ, INV_NO ,TIMESTAMP,
2,4,1,0,108,0,C,1,1,2,16/12/2023 00:00:00,31/12/2023 00:00:00,TC,48,UPG2A23109012833, 	(01-SEP-2025 14:11:51)
2,4,1,0,98,0,C,1,1,2,16/07/2023 00:00:00,31/07/2023 00:00:00,TC,49,UPG2A23109005727, 	(01-SEP-2025 14:11:51)
2,4,1,0,7,0,C,1,1,1,01/04/2025 00:00:00,15/04/2025 00:00:00,TC,8,UPG2A25109000730, 	(01-SEP-2025 14:11:51)
2,4,1,0,7,0,C,1,1,1,01/04/2025 00:00:00,15/04/2025 00:00:00,TC,9,UPG2A25109000731, 	(01-SEP-2025 14:11:51)
2,4,1,0,7,0,C,1,1,1,01/04/2025 00:00:00,15/04/2025 00:00:00,TC,10,UPG2A25109000732, 	(01-SEP-2025 14:11:51)
2,4,1,0,7,0,C,1,1,2,16/04/2025 00:00:00,30/04/2025 00:00:00,TC,11,UPG2A25109002589, 	(01-SEP-2025 14:11:51)
2,4,1,0,7,0,C,1,1,2,16/04/2025 00:00:00,30/04/2025 00:00:00,TC,12,UPG2A25109002590, 	(01-SEP-2025 14:11:51)
2,4,1,0,7,0,C,1,1,1,01/05/2025 00:00:00,15/05/2025 00:00:00,TC,13,UPG2A25109003831, 	(01-SEP-2025 14:11:51)
2,4,1,0,7,0,C,1,1,2,16/05/2025 00:00:00,31/05/2025 00:00:00,TC,14,UPG2A25109005668, 	(01-SEP-2025 14:11:51)
2,4,1,0,7,0,C,1,1,1,01/06/2025 00:00:00,15/06/2025 00:00:00,TC,15,UPG2A25109006258, 	(01-SEP-2025 14:11:51)
