

<<START>>,<<FMS_TRADER_CONT_BU>>,,,,,, 	(01-APR-2025 15:45:17)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,1, 0, 0,825041, 0,, 	(01-APR-2025 15:45:18)
2,43, 0, 0,825062, 0,, 	(01-APR-2025 15:45:18)
2,43, 0, 0,825062, 1,, 	(01-APR-2025 15:45:18)
2,43, 0, 0,825061, 1,, 	(01-APR-2025 15:45:18)
2,43, 0, 0,825060, 1,, 	(01-APR-2025 15:45:18)
2,1, 0, 0,825039, 1,, 	(01-APR-2025 15:45:18)
2,1, 0, 0,825040, 1,, 	(01-APR-2025 15:45:18)
2,1, 0, 0,825041, 1,, 	(01-APR-2025 15:45:18)
2,154, 0, 0,825109, 0,, 	(01-APR-2025 15:45:18)
2,1, 0, 0,825028, 0,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
2,1, 0, 0,825028, 0,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
2,61, 0, 0,825117, 0,, 	(01-APR-2025 15:45:18)
2,61, 0, 0,825117, 1,, 	(01-APR-2025 15:45:18)
2,181, 0, 0,825126, 0,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
2,181, 0, 0,825126, 1,, 	(01-APR-2025 15:45:18)
2,51, 0, 0,825073, 0,, 	(01-APR-2025 15:45:18)
2,51, 0, 0,825073, 1,, 	(01-APR-2025 15:45:18)
2,154, 0, 0,825106, 0,, 	(01-APR-2025 15:45:18)
2,154, 0, 0,825106, 1,, 	(01-APR-2025 15:45:18)
2,1, 0, 0,825025, 10,, 	(01-APR-2025 15:45:18)
2,1, 0, 0,825025, 10,, 	(01-APR-2025 15:45:18)
2,1, 0, 0,825025, 10,, 	(01-APR-2025 15:45:18)
2,1, 0, 0,825025, 14,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
2,1, 0, 0,825025, 14,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
2,1, 0, 0,825025, 14,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
2,1, 0, 0,825025, 15,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
2,1, 0, 0,825025, 15,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
2,1, 0, 0,825025, 16,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
2,1, 0, 0,825025, 16,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
2,1, 0, 0,825025, 16,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
2,1, 0, 0,825025, 17,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
2,1, 0, 0,825025, 17,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
2,1, 0, 0,825025, 17,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
2,1, 0, 0,825025, 18,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
2,1, 0, 0,825025, 18,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
2,1, 0, 0,825025, 18,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
2,1, 0, 0,825025, 19,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
2,1, 0, 0,825025, 19,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
2,1, 0, 0,825025, 19,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
2,1, 0, 0,825026, 7,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
2,1, 0, 0,825026, 7,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
2,1, 0, 0,825026, 7,, 	(01-APR-2025 15:45:18)	 (Not Inserted)
