

<<START>>,<<FMS_TRUCK_DRIVER_LINK>>,,, 	(28-MAY-2025 11:31:18)
 
ENT_PROFILE,TRUCK_CD,DRIVER_CD,EFF_DT,TIMESTAMP,
2,59,167,12/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,87,51,13/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,167,13/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,121,13/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,87,168,14/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,63,129,15/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,167,15/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,89,130,16/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,88,131,16/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,121,16/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,86,132,17/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,208,18/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,167,19/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,120,19/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,87,51,21/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,69,23/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,167,24/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,87,51,26/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,116,26/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,87,51,27/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,25,169,27/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,87,51,27/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,87,51,27/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,58,215,28/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,63,129,29/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,69,29/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,23,111,31/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,116,31/05/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,91,170,01/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,63,84,02/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,208,02/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,167,02/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,217,02/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,121,02/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,69,06/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,121,06/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,86,166,07/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,208,07/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,121,07/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,10,217,08/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,86,132,08/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,116,08/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,86,166,09/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,116,12/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,121,12/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,69,15/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,25,75,16/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,25,75,17/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,116,18/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,69,18/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,219,19/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,116,19/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,69,20/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,121,20/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,88,55,23/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,121,24/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,121,24/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,121,24/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,59,116,25/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,121,26/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,69,28/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,,30/06/2022 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,59,116,05/07/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,217,06/07/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,121,06/07/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,69,08/07/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,217,12/07/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,69,12/07/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,219,16/07/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,121,17/07/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,167,19/07/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,219,22/07/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,69,22/07/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,121,28/07/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,219,02/08/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,167,03/08/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,121,05/08/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,219,06/08/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,167,07/08/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,219,08/08/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,167,08/08/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,217,08/08/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,117,09/08/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,116,11/08/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,117,12/08/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,117,12/08/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,69,12/08/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,167,14/08/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,219,17/08/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,117,20/08/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,167,23/08/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,117,24/08/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,69,24/08/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,167,26/08/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,117,30/08/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,116,30/08/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,167,02/09/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,167,02/09/2022 00:00:00, 	(28-MAY-2025 11:31:18)	 (Not Inserted)
2,23,111,03/09/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,52,210,03/09/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,121,04/09/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,219,06/09/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,116,07/09/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,121,07/09/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,63,51,08/09/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,69,09/09/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,59,121,09/09/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,87,129,11/09/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,219,12/09/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,58,117,13/09/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,63,129,13/09/2022 00:00:00, 	(28-MAY-2025 11:31:18)
2,87,84,14/09/2022 00:00:00, 	(28-MAY-2025 11:31:18)
