

<<START>>,<<FMS_ENTITY_CONTACT_MST>>,,,,,, 	(01-MAR-2025 14:47:35)
 
COMPANY_CD,CD,ABBR,ENTITY,SEQ_NO,EFF_DT,ADDR_FLAG,TIMESTAMP
2,20 , AMNS , C , 8 , 09/03/2017 00:00:00 , B, 	(01-MAR-2025 14:47:39)
2,20 , AMNS , C , 9 , 01/07/2021 00:00:00 , P1, 	(01-MAR-2025 14:47:39)
2,20 , AMNS , C , 10 , 01/12/2023 00:00:00 , P1, 	(01-MAR-2025 14:47:39)
2,20 , AMNS , C , 11 , 01/12/2023 00:00:00 , P1, 	(01-MAR-2025 14:47:39)
2,20 , AMNS , C , 12 , 29/09/2022 00:00:00 , B, 	(01-MAR-2025 14:47:39)
2,20 , AMNS , C , 13 , 14/01/2025 00:00:00 , P1, 	(01-MAR-2025 14:47:39)
2,20 , AMNS , C , 14 , 14/01/2025 00:00:00 , P5, 	(01-MAR-2025 14:47:39)
2, , SEMTPL , C , 1 , 28/07/2018 00:00:00 , P3, 	(01-MAR-2025 14:47:39)	 (Not Inserted)
2,21 , SGIPL , C , 1 , 01/07/2022 00:00:00 , P3, 	(01-MAR-2025 14:47:39)
2,21 , SGIPL , C , 2 , 28/02/2022 00:00:00 , P5, 	(01-MAR-2025 14:47:39)
2,21 , SGIPL , C , 3 , 28/11/2017 00:00:00 , P5, 	(01-MAR-2025 14:47:39)
2,21 , SGIPL , C , 4 , 28/11/2017 00:00:00 , P3, 	(01-MAR-2025 14:47:39)	 (Not Inserted)
2,21 , SGIPL , C , 5 , 28/11/2017 00:00:00 , P3, 	(01-MAR-2025 14:47:39)
2,21 , SGIPL , C , 6 , 28/11/2017 00:00:00 , B, 	(01-MAR-2025 14:47:39)
2,21 , SGIPL , C , 7 , 28/11/2017 00:00:00 , B, 	(01-MAR-2025 14:47:39)
2,21 , SGIPL , C , 8 , 28/11/2017 00:00:00 , P2, 	(01-MAR-2025 14:47:39)
2,21 , SGIPL , C , 9 , 30/06/2022 00:00:00 , P3, 	(01-MAR-2025 14:47:39)
2,21 , SGIPL , C , 10 , 01/04/2024 00:00:00 , P6, 	(01-MAR-2025 14:47:39)
2,21 , SGIPL , C , 11 , 28/11/2017 00:00:00 , P5, 	(01-MAR-2025 14:47:39)
2,22 , VGL , C , 1 , 03/07/2019 00:00:00 , B, 	(01-MAR-2025 14:47:39)
2,22 , VGL , C , 2 , 01/01/2024 00:00:00 , P3, 	(01-MAR-2025 14:47:39)
2,22 , VGL , C , 3 , 01/01/2024 00:00:00 , C, 	(01-MAR-2025 14:47:39)
2,23 , PGPGPL , C , 1 , 04/10/2019 00:00:00 , B, 	(01-MAR-2025 14:47:39)
2,23 , PGPGPL , C , 2 , 04/10/2019 00:00:00 , P2, 	(01-MAR-2025 14:47:39)
2,23 , PGPGPL , C , 3 , 04/10/2019 00:00:00 , P2, 	(01-MAR-2025 14:47:39)	 (Not Inserted)
2,23 , PGPGPL , C , 4 , 01/01/2020 00:00:00 , P2, 	(01-MAR-2025 14:47:39)
2,23 , PGPGPL , C , 5 , 04/10/2019 00:00:00 , P1, 	(01-MAR-2025 14:47:39)
2,23 , PGPGPL , C , 6 , 04/10/2019 00:00:00 , P1, 	(01-MAR-2025 14:47:39)
