

<<START>>,<<FMS_EXCHG_RATE_ENTRY>>,, 	(18-FEB-2025 10:26:50)
 
CD,NAME,EFF_DT,TIMESTAMP
13 ,SBI RATE BUY , 02/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
14 ,SBI RATE BUY SELL , 02/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
15 ,SBI RATE SELL , 06/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
13 ,SBI RATE BUY , 06/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
14 ,SBI RATE BUY SELL , 06/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
15 ,SBI RATE SELL , 08/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
13 ,SBI RATE BUY , 08/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
14 ,SBI RATE BUY SELL , 08/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
15 ,SBI RATE SELL , 09/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
13 ,SBI RATE BUY , 09/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
14 ,SBI RATE BUY SELL , 09/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
15 ,SBI RATE SELL , 13/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
13 ,SBI RATE BUY , 13/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
14 ,SBI RATE BUY SELL , 13/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
15 ,SBI RATE SELL , 15/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
13 ,SBI RATE BUY , 15/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
14 ,SBI RATE BUY SELL , 15/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
15 ,SBI RATE SELL , 16/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
13 ,SBI RATE BUY , 16/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
14 ,SBI RATE BUY SELL , 16/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
15 ,SBI RATE SELL , 17/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
13 ,SBI RATE BUY , 17/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
14 ,SBI RATE BUY SELL , 17/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
15 ,SBI RATE SELL , 20/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
13 ,SBI RATE BUY , 20/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
14 ,SBI RATE BUY SELL , 20/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
15 ,SBI RATE SELL , 21/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
13 ,SBI RATE BUY , 21/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
14 ,SBI RATE BUY SELL , 21/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
15 ,SBI RATE SELL , 22/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
13 ,SBI RATE BUY , 22/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
14 ,SBI RATE BUY SELL , 22/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
15 ,SBI RATE SELL , 23/04/2009 00:00:00, 	(18-FEB-2025 10:26:53)
