

<<START>>,<<FMS_SUPPLY_CONT_PLANT_CHRG>>,, 	(17-MAY-2025 17:56:51)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,CONTRACT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,TIMESTAMP,
RIL,1,S,2,0,3,0,710090, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,1,0,710088, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,5,0,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RIL,1,S,2,0,6,0,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RIL,1,S,2,0,7,0,710027, 	(17-MAY-2025 17:56:51)
RIL,1,S,3,0,2,0,823019, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,27,0,711009, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,28,0,711003, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,30,0,712001, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,17,0,710029, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,22,1,711005, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,21,0,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RIL,1,S,2,0,22,0,711005, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,5,0,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RIL,1,S,2,0,13,0,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RIL,1,S,2,0,31,0,711001, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,1,41,1,714001, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,1,42,0,714002, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,15,0,710097, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,21,0,710030, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,8,0,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RIL,1,S,2,0,10,0,710094, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,14,0,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RIL,1,S,3,0,3,0,824008, 	(17-MAY-2025 17:56:51)
RIL,1,S,3,0,1,0,720011, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,25,1,711006, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,27,1,711009, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,1,41,0,714001, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,1,43,0,714001, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,15,0,710029, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,20,0,710029, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,2,0,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RIL,1,S,2,0,4,0,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RIL,1,S,2,0,8,0,710093, 	(17-MAY-2025 17:56:51)
RIL,1,S,2,0,9,0,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RIL,1,S,2,0,25,0,711006, 	(17-MAY-2025 17:56:51)
RIL,1,,,,,,720027, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RIL,1,,,,,,720010, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
RIL,1,,,,,,720002, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
MGL,2,S,6,0,5,0,720007, 	(17-MAY-2025 17:56:51)
MGL,2,S,6,0,8,0,823029, 	(17-MAY-2025 17:56:51)
MGL,2,S,1,0,1,0,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
MGL,2,S,1,0,1,0,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
MGL,2,S,6,2,15,0,823043, 	(17-MAY-2025 17:56:51)
MGL,2,S,6,0,4,0,720021, 	(17-MAY-2025 17:56:51)
MGL,2,S,6,2,16,0,824025, 	(17-MAY-2025 17:56:51)
MGL,2,S,6,0,2,0,719015, 	(17-MAY-2025 17:56:51)
MGL,2,S,6,0,5,0,720021, 	(17-MAY-2025 17:56:51)
