

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,,, 	(20-FEB-2025 17:45:43)
 
COMPANY_CD,CD,ABBR,SEQ,ENTITY,TIMESTAMP
RAILWAYS,, 	(20-FEB-2025 17:45:44)
OTHER ROAD TRANSPORT,, 	(20-FEB-2025 17:45:44)
STATE ROAD TRANSPORT,, 	(20-FEB-2025 17:45:44)
SHIP. COASTAL,, 	(20-FEB-2025 17:45:44)
SHIP. INTERNATIONAL,, 	(20-FEB-2025 17:45:44)
INLAND WATERWAYS,, 	(20-FEB-2025 17:45:44)
OTHERS (PORT TRUST),, 	(20-FEB-2025 17:45:44)
DOMESTIC DIST.,, 	(20-FEB-2025 17:45:44)
INDUSTRIAL DIST.,, 	(20-FEB-2025 17:45:44)
OWN CONSUMPTION,, 	(20-FEB-2025 17:45:44)
PARALLEL MARKETERS,, 	(20-FEB-2025 17:45:44)
TEA PLANTATION,, 	(20-FEB-2025 17:45:44)
RUBBER/COFFEE ETC,, 	(20-FEB-2025 17:45:44)
FORESTRY&TIMBER,, 	(20-FEB-2025 17:45:44)
AGRI.CROPS/ORCHARD,, 	(20-FEB-2025 17:45:44)
SUGAR MILLS,, 	(20-FEB-2025 17:45:44)
FLOUR MILLS ETC,, 	(20-FEB-2025 17:45:44)
VEG. OIL MILLS,, 	(20-FEB-2025 17:45:44)
FOOD PROCESSING,, 	(20-FEB-2025 17:45:44)
DAIRIES&MILK PROC,, 	(20-FEB-2025 17:45:44)
FISHERIES,, 	(20-FEB-2025 17:45:44)
AGRI. MISCELLANEOUS,, 	(20-FEB-2025 17:45:44)
DOMESTIC AIRLINES,, 	(20-FEB-2025 17:45:44)
FOREIGN AIRLINES,, 	(20-FEB-2025 17:45:44)
DAIRIES&MILK PROC,, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
FERTILISER-GAS BASED,, 	(20-FEB-2025 17:45:44)
CAUSTIC SODA ETC.,, 	(20-FEB-2025 17:45:44)
HEAVY ACIDS,, 	(20-FEB-2025 17:45:44)
OTHER INORG.CHEM,, 	(20-FEB-2025 17:45:44)
PETRO-CHEM OTHERS,, 	(20-FEB-2025 17:45:44)
PETROCHEM -GAS BASED,, 	(20-FEB-2025 17:45:44)
DYES & DYE STUFFS,, 	(20-FEB-2025 17:45:44)
SYNTHETIC RUBBER,, 	(20-FEB-2025 17:45:44)
PESTI./AGRO CHEM,, 	(20-FEB-2025 17:45:44)
OTHER ORG.CHEMICAL,, 	(20-FEB-2025 17:45:44)
DRUGS&PHARMACEUTICAL,, 	(20-FEB-2025 17:45:44)
PAINTS ETC,, 	(20-FEB-2025 17:45:44)
INDU EXPLOSIVE,, 	(20-FEB-2025 17:45:44)
CALCINATION PLANTS,, 	(20-FEB-2025 17:45:44)
SOAPS ETC,, 	(20-FEB-2025 17:45:44)
MISC CHEM INDU,, 	(20-FEB-2025 17:45:44)
CEMENT/BUILD MAT,, 	(20-FEB-2025 17:45:44)
BITUMEN/BUILD.MAT,, 	(20-FEB-2025 17:45:44)
CIVIL MISCELLANEOUS,, 	(20-FEB-2025 17:45:44)
CITY OR LOCAL NATURAL GAS DISTRIBUTION,, 	(20-FEB-2025 17:45:44)
LDC,, 	(20-FEB-2025 17:45:44)

TOTAL DATA IN EXCEL : ,97, 	(20-FEB-2025 17:45:44)
 

TOTAL DATA INSERTED : ,96, 	(20-FEB-2025 17:45:44)
 

TOTAL SKIPPED DATA ,1, 	(20-FEB-2025 17:45:44)
 
<<END>>,<<FMS_SECTOR_MST>>, 	(20-FEB-2025 17:45:44)
 

<<START>>,<<FMS_SECTOR_DTL>>, 	(20-FEB-2025 17:45:44)
 
ABBR,,TIMESTAMP
RESELLERS,, 	(20-FEB-2025 17:45:44)
ELLECTRICAL/ ELECTRONICS,, 	(20-FEB-2025 17:45:44)
HEAVY MACHINES,, 	(20-FEB-2025 17:45:44)
LIGHT MACHINES,, 	(20-FEB-2025 17:45:44)
AIRCRAFTS,, 	(20-FEB-2025 17:45:44)
SHIPBUILD. & REPAIRS,, 	(20-FEB-2025 17:45:44)
TRUCKS&PASS VEHICALS,, 	(20-FEB-2025 17:45:44)
SCOOTERS ETC,, 	(20-FEB-2025 17:45:44)
HIGH PRESSURE VESSEL,, 	(20-FEB-2025 17:45:44)
MECH. MISCELLANEOUS,, 	(20-FEB-2025 17:45:44)
STRUCTURAL WORKS,, 	(20-FEB-2025 17:45:44)
IRON & STEEL PLANTS,, 	(20-FEB-2025 17:45:44)
IRON & STEEL REWORKS,, 	(20-FEB-2025 17:45:44)
ALUMINIUM,, 	(20-FEB-2025 17:45:44)
FOUNDRIES/CASTINGS,, 	(20-FEB-2025 17:45:44)
FERROUS ALLOYS,, 	(20-FEB-2025 17:45:44)
METAL. MISCELLANEOUS,, 	(20-FEB-2025 17:45:44)
CANDLE INDUSTRY,, 	(20-FEB-2025 17:45:44)
MATCHES,, 	(20-FEB-2025 17:45:44)
RUBBER TYRES & TUBES,, 	(20-FEB-2025 17:45:44)
PAPER PRODUCTS,, 	(20-FEB-2025 17:45:44)
INDU ABRASIVES,, 	(20-FEB-2025 17:45:44)
GLASS/CERAMICS ETC,, 	(20-FEB-2025 17:45:44)
PACKING MATERIALS,, 	(20-FEB-2025 17:45:44)
