
<<START>>,<<FMS_TRADER_CN_MST>>, 	(16-JUL-2025 17:18:03)
 
CD,AGMT_TYPE,AGMT_NO,AGMR_REV,CONT_TYPE,CONT_NO,CONT_REV,TIMESTAMP
TGPL,9011, M ,27, 0 , N ,725032, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,9014, M ,28, 0 , N ,725033, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,9016, M ,29, 0 , N ,725034, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,9017, M ,30, 0 , N ,725035, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,9021, M ,31, 0 , N ,725036, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,10002, M ,32, 0 , N ,725037, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,10004, M ,33, 0 , N ,725038, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,10005, M ,34, 0 , N ,725039, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,10009, M ,35, 0 , N ,725040, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,10009, M ,35, 0 , N ,725040, 0 ,2, 	(16-JUL-2025 17:18:25)
TGPL,10009, M ,35, 0 , N ,725040, 0 ,3, 	(16-JUL-2025 17:18:25)
TGPL,10009, M ,35, 0 , N ,725040, 0 ,4, 	(16-JUL-2025 17:18:25)
TGPL,10009, M ,35, 0 , N ,725040, 0 ,5, 	(16-JUL-2025 17:18:25)
TGPL,10009, M ,35, 0 , N ,725040, 0 ,6, 	(16-JUL-2025 17:18:25)
TGPL,11002, M ,36, 0 , N ,725041, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,11006, M ,37, 0 , N ,725042, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,11008, M ,38, 0 , N ,725043, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,11008, M ,38, 0 , N ,725043, 0 ,2, 	(16-JUL-2025 17:18:25)
TGPL,11008, M ,38, 0 , N ,725043, 0 ,3, 	(16-JUL-2025 17:18:25)
TGPL,11010, M ,39, 0 , N ,725044, 0 ,1, 	(16-JUL-2025 17:18:25)
TGPL,11010, M ,39, 0 , N ,725044, 0 ,2, 	(16-JUL-2025 17:18:25)
TGPL,11010, M ,39, 0 , N ,725044, 0 ,3, 	(16-JUL-2025 17:18:25)
TGPL,11010, M ,39, 0 , N ,725044, 0 ,4, 	(16-JUL-2025 17:18:25)
TGPL,11010, M ,39, 0 , N ,725044, 0 ,5, 	(16-JUL-2025 17:18:25)
TGPL,11010, M ,39, 0 , N ,725044, 0 ,6, 	(16-JUL-2025 17:18:25)
SELNG,5001, M ,1, 0 , N ,725045, 0 ,1, 	(16-JUL-2025 17:18:25)
SELNG,5003, M ,2, 0 , N ,725046, 0 ,1, 	(16-JUL-2025 17:18:25)
SELNG,6001, M ,3, 0 , N ,725047, 0 ,1, 	(16-JUL-2025 17:18:25)
SELNG,6002, M ,4, 0 , N ,725048, 0 ,1, 	(16-JUL-2025 17:18:25)
