
<<START>>,<<FMS_LTCORA_CONT_STRG_CRG>>,,,, 	(17-MAY-2025 18:06:26)
 
COUNTERPARTY_ABBR,BUY_SALE,AGMT_TYPE,AGMT_NO,AGMT_REV,CONTRACT_TYPE,CONT_NO,CONT_REV,SEQ_NO,TIMESTAMP,
12,13,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,14,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,15,1,0,K,L, 	(17-MAY-2025 18:06:28)
12,16,1,0,K,L, 	(17-MAY-2025 18:06:28)
17,1,1,0,K,S, 	(17-MAY-2025 18:06:28)
17,2,1,0,K,S, 	(17-MAY-2025 18:06:28)
19,1,1,0,K,S, 	(17-MAY-2025 18:06:28)
20,1,1,0,K,S, 	(17-MAY-2025 18:06:28)
20,2,1,0,K,S, 	(17-MAY-2025 18:06:28)
20,3,1,1,K,L, 	(17-MAY-2025 18:06:28)
20,4,1,0,K,L, 	(17-MAY-2025 18:06:28)
21,1,1,0,K,S, 	(17-MAY-2025 18:06:28)
21,2,1,0,K,S, 	(17-MAY-2025 18:06:28)
21,3,1,0,K,S, 	(17-MAY-2025 18:06:28)
21,4,1,0,K,S, 	(17-MAY-2025 18:06:28)
21,5,1,0,K,S, 	(17-MAY-2025 18:06:28)
21,6,1,0,K,S, 	(17-MAY-2025 18:06:28)
21,7,1,1,K,S, 	(17-MAY-2025 18:06:28)
21,8,1,0,K,S, 	(17-MAY-2025 18:06:28)
22,1,1,0,K,S, 	(17-MAY-2025 18:06:28)
22,2,1,1,K,S, 	(17-MAY-2025 18:06:28)
22,3,1,0,K,S, 	(17-MAY-2025 18:06:28)
22,4,1,0,K,S, 	(17-MAY-2025 18:06:28)
22,5,1,0,K,S, 	(17-MAY-2025 18:06:28)
22,6,1,0,K,S, 	(17-MAY-2025 18:06:28)
23,1,1,0,K,S, 	(17-MAY-2025 18:06:28)
23,2,1,0,K,S, 	(17-MAY-2025 18:06:28)
23,3,1,1,K,S, 	(17-MAY-2025 18:06:28)
23,4,1,0,K,S, 	(17-MAY-2025 18:06:28)
23,5,1,0,K,S, 	(17-MAY-2025 18:06:28)
23,6,1,0,K,S, 	(17-MAY-2025 18:06:28)
23,7,1,0,K,S, 	(17-MAY-2025 18:06:28)
23,8,1,0,K,S, 	(17-MAY-2025 18:06:28)
23,9,1,1,K,S, 	(17-MAY-2025 18:06:28)
