
<<START>>,<<FMS_TRADER_CONT_BU>>, 	(31-AUG-2025 10:55:20)
 
TRADER_ABBR,FGSA_NO,FGSA_REV_NO,SN_NO,SN_REV_NO,TIMESTAMP
RIL,0,0,3,11, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,11, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,10, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,10, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,10, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,10, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,10, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,10, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,9, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,9, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,9, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,9, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,9, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,9, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,8, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,8, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,8, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,8, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,8, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,8, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,7, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,7, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,7, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,7, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,7, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,7, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,6, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,6, 	(31-AUG-2025 10:55:21)
RIL,0,0,3,6, 	(31-AUG-2025 10:55:21)
