

<<START>>,<<FMS_SUPPLY_CONT_TRANSPTR>>,,,,,,,, 	(04-JUN-2025 10:15:47)
 
COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, TRANSPORTER_CD, PLANT_SEQ_NO, TIMESTAMP
2,6,2,15,0,S,Gail,3, 	(04-JUN-2025 10:15:48)
2,6,2,15,0,S,Gail,4, 	(04-JUN-2025 10:15:48)
2,6,2,15,0,S,Gail,5, 	(04-JUN-2025 10:15:48)
2,6,2,15,0,S,Gail,6, 	(04-JUN-2025 10:15:48)
2,6,2,15,0,S,Gail,7, 	(04-JUN-2025 10:15:48)
2,6,2,15,0,S,Gail,8, 	(04-JUN-2025 10:15:48)
2,6,2,15,0,S,Gail,9, 	(04-JUN-2025 10:15:48)
2,6,2,17,0,S,Gail,1, 	(04-JUN-2025 10:15:48)
2,6,2,17,0,S,Gail,2, 	(04-JUN-2025 10:15:48)
2,6,2,17,0,S,Gail,3, 	(04-JUN-2025 10:15:48)
2,6,2,17,0,S,Gail,4, 	(04-JUN-2025 10:15:48)
2,6,2,17,0,S,Gail,5, 	(04-JUN-2025 10:15:48)
2,6,2,17,0,S,Gail,6, 	(04-JUN-2025 10:15:48)
2,6,2,17,0,S,Gail,7, 	(04-JUN-2025 10:15:48)
2,6,2,17,0,S,Gail,8, 	(04-JUN-2025 10:15:48)
2,6,2,17,0,S,Gail,9, 	(04-JUN-2025 10:15:48)
2,6,2,16,0,S,Gail,1, 	(04-JUN-2025 10:15:48)
2,6,2,16,0,S,Gail,2, 	(04-JUN-2025 10:15:48)
2,6,2,16,0,S,Gail,3, 	(04-JUN-2025 10:15:48)
2,6,2,16,0,S,Gail,4, 	(04-JUN-2025 10:15:48)
2,6,2,16,0,S,Gail,5, 	(04-JUN-2025 10:15:48)
2,6,2,16,0,S,Gail,6, 	(04-JUN-2025 10:15:48)
2,6,2,16,0,S,Gail,7, 	(04-JUN-2025 10:15:48)
2,6,2,16,0,S,Gail,8, 	(04-JUN-2025 10:15:48)
2,6,2,16,0,S,Gail,9, 	(04-JUN-2025 10:15:48)
2,6,2,16,0,S,Gail,1, 	(04-JUN-2025 10:15:48)
2,6,2,16,0,S,Gail,2, 	(04-JUN-2025 10:15:48)
2,6,2,16,0,S,Gail,3, 	(04-JUN-2025 10:15:48)
2,6,2,16,0,S,Gail,4, 	(04-JUN-2025 10:15:48)
2,6,2,16,0,S,Gail,5, 	(04-JUN-2025 10:15:48)
2,6,2,16,0,S,Gail,6, 	(04-JUN-2025 10:15:48)
2,6,2,16,0,S,Gail,7, 	(04-JUN-2025 10:15:48)
2,6,2,16,0,S,Gail,8, 	(04-JUN-2025 10:15:48)
2,6,2,16,0,S,Gail,9, 	(04-JUN-2025 10:15:48)
2,6,2,13,0,S,Gail,1, 	(04-JUN-2025 10:15:48)
2,6,2,13,0,S,Gail,2, 	(04-JUN-2025 10:15:48)
2,6,2,13,0,S,Gail,3, 	(04-JUN-2025 10:15:48)
2,6,2,13,0,S,Gail,4, 	(04-JUN-2025 10:15:48)
2,6,2,13,0,S,Gail,5, 	(04-JUN-2025 10:15:48)
2,6,2,13,0,S,Gail,6, 	(04-JUN-2025 10:15:48)
2,6,2,13,0,S,Gail,7, 	(04-JUN-2025 10:15:48)
2,6,2,13,0,S,Gail,8, 	(04-JUN-2025 10:15:48)
2,6,2,13,0,S,Gail,9, 	(04-JUN-2025 10:15:48)
2,6,2,13,0,S,Gail,1, 	(04-JUN-2025 10:15:48)
2,6,2,13,0,S,Gail,2, 	(04-JUN-2025 10:15:48)
2,6,2,13,0,S,Gail,3, 	(04-JUN-2025 10:15:48)
2,6,2,13,0,S,Gail,4, 	(04-JUN-2025 10:15:48)
2,6,2,13,0,S,Gail,5, 	(04-JUN-2025 10:15:48)
2,6,2,13,0,S,Gail,6, 	(04-JUN-2025 10:15:48)
2,6,2,13,0,S,Gail,7, 	(04-JUN-2025 10:15:48)
2,6,2,13,0,S,Gail,8, 	(04-JUN-2025 10:15:48)
2,6,2,13,0,S,Gail,9, 	(04-JUN-2025 10:15:48)
2,6,2,12,0,S,Gail,1, 	(04-JUN-2025 10:15:48)
2,6,2,12,0,S,Gail,2, 	(04-JUN-2025 10:15:48)
2,6,2,12,0,S,Gail,3, 	(04-JUN-2025 10:15:48)
2,6,2,12,0,S,Gail,4, 	(04-JUN-2025 10:15:48)
2,6,2,12,0,S,Gail,5, 	(04-JUN-2025 10:15:48)
2,6,2,12,0,S,Gail,6, 	(04-JUN-2025 10:15:48)
2,6,2,12,0,S,Gail,7, 	(04-JUN-2025 10:15:48)
2,6,2,12,0,S,Gail,8, 	(04-JUN-2025 10:15:48)
2,6,2,12,0,S,Gail,9, 	(04-JUN-2025 10:15:48)
2,6,2,15,0,S,Gail,1, 	(04-JUN-2025 10:15:48)
2,6,2,15,0,S,Gail,2, 	(04-JUN-2025 10:15:48)
2,6,2,15,0,S,Gail,3, 	(04-JUN-2025 10:15:48)
2,6,2,15,0,S,Gail,4, 	(04-JUN-2025 10:15:48)
2,6,2,15,0,S,Gail,5, 	(04-JUN-2025 10:15:48)
2,6,2,15,0,S,Gail,6, 	(04-JUN-2025 10:15:48)
2,6,2,15,0,S,Gail,7, 	(04-JUN-2025 10:15:48)
2,6,2,15,0,S,Gail,8, 	(04-JUN-2025 10:15:48)
2,6,2,15,0,S,Gail,9, 	(04-JUN-2025 10:15:48)
2,6,2,12,0,S,Gail,1, 	(04-JUN-2025 10:15:48)
2,6,2,12,0,S,Gail,2, 	(04-JUN-2025 10:15:48)
2,6,2,12,0,S,Gail,3, 	(04-JUN-2025 10:15:48)
2,6,2,12,0,S,Gail,4, 	(04-JUN-2025 10:15:48)
2,6,2,12,0,S,Gail,5, 	(04-JUN-2025 10:15:48)
2,6,2,12,0,S,Gail,6, 	(04-JUN-2025 10:15:48)
2,6,2,12,0,S,Gail,7, 	(04-JUN-2025 10:15:48)
2,6,2,12,0,S,Gail,8, 	(04-JUN-2025 10:15:48)
