

<<START>>,<<FMS_GTA_FFLOW_INV_MST>>,,, 	(30-AUG-2025 10:37:22)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,GAS_DT,NOM_REV_NO,TRANSPORTER_MAP,CONT_MAP,MDQ,TIMESTAMP,

TOTAL DATA EXTRACTED :,237 ,,, 	(30-AUG-2025 10:37:25)
 
<<END>>,<<FMS_GTA_FFLOW_INV_MST>>,,, 	(30-AUG-2025 10:37:25)
 

<<START>>,<<FMS_GTA_FFLOW_INV_DTL>>,,, 	(30-AUG-2025 10:37:25)
 
COMPANY_CD,COUNTERPARTY_CD,CONTRACT_TYPE,INVOICE_NO,INVOICE_TYPE,TIMESTAMP,
Gail,16-1-14-16-1601-81,Trans,GJG2A22103002840,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-16-16-1605-10000165,Trans,UPG2A23109017553,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-721,Tender,UPG2A23109016854,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-721,Tender,UPG2A23109016855,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-721,Tender,UPG2A23109017634,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-721,Tender,UPG2A23109017635,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-721,Tender,UPG2A23109017667,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-21-16-1604-92,Trans,GJG2A22103003056,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-22-16-1604-101,Trans,UPG2A23109000370,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-412,Tender,UPG2A24109021004,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-412,Tender,UPG2A24109021005,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-412,Tender,UPG2A24109021006,TC, 	(30-AUG-2025 10:37:25)
