

<<START>>,<<FMS_AGMT_MST>>,,, 	(03-MAR-2025 12:33:51)
 
COUNTERPARTY_ABBR,AGMT_TYPE,AGMT_NO,AGMT_REV 	(03-MAR-2025 12:33:52)
KRIBHCO,F,1,0,1, 	(03-MAR-2025 12:33:54)
DFPCL,F,2,0,1, 	(03-MAR-2025 12:33:54)
DFPCL,F,1,0,1, 	(03-MAR-2025 12:33:54)
AIGL,F,1,0,1, 	(03-MAR-2025 12:33:54)
ESEZ,F,1,0,1, 	(03-MAR-2025 12:33:54)
VIL,F,1,0,1, 	(03-MAR-2025 12:33:54)
VSIL,F,1,0,1, 	(03-MAR-2025 12:33:54)
GGCL,F,1,0,1, 	(03-MAR-2025 12:33:54)
TPL,F,1,0,1, 	(03-MAR-2025 12:33:54)
WMSL,F,2,0,1, 	(03-MAR-2025 12:33:54)
WMSL,F,1,1,1, 	(03-MAR-2025 12:33:54)
WMSL,F,1,2,1, 	(03-MAR-2025 12:33:54)
WMSL,F,1,0,1, 	(03-MAR-2025 12:33:54)
MNGL,F,1,0,1, 	(03-MAR-2025 12:33:54)
IGL,F,2,0,1, 	(03-MAR-2025 12:33:54)
IGL,F,1,0,1, 	(03-MAR-2025 12:33:54)
BPCL,F,1,0,1, 	(03-MAR-2025 12:33:54)
BPCL,F,2,0,1, 	(03-MAR-2025 12:33:54)
TEL,F,1,0,1, 	(03-MAR-2025 12:33:54)
HPCL,F,1,2,2, 	(03-MAR-2025 12:33:54)
HPCL,F,2,0,1, 	(03-MAR-2025 12:33:54)
HPCL,F,1,1,1, 	(03-MAR-2025 12:33:54)
HPCL,F,2,0,2, 	(03-MAR-2025 12:33:54)
HPCL,F,1,2,1, 	(03-MAR-2025 12:33:54)
HPCL,F,1,0,1, 	(03-MAR-2025 12:33:54)
JSW,F,1,0,1, 	(03-MAR-2025 12:33:54)
BGL,F,1,0,1, 	(03-MAR-2025 12:33:54)
GSFC,F,1,0,1, 	(03-MAR-2025 12:33:54)
H-Energy,F,1,0,1, 	(03-MAR-2025 12:33:54)
SIMPL,F,1,0,1, 	(03-MAR-2025 12:33:54)
AMNS,F,2,3,1, 	(03-MAR-2025 12:33:54)
AMNS,F,3,0,1, 	(03-MAR-2025 12:33:54)
AMNS,F,2,2,1, 	(03-MAR-2025 12:33:54)
AMNS,F,1,0,1, 	(03-MAR-2025 12:33:54)
AMNS,F,2,0,1, 	(03-MAR-2025 12:33:54)
AMNS,F,2,1,1, 	(03-MAR-2025 12:33:54)
SEMTIPL,F,1,0,1, 	(03-MAR-2025 12:33:54)
SEMTIPL,F,1,0,2, 	(03-MAR-2025 12:33:54)
SGIPL,F,1,0,1, 	(03-MAR-2025 12:33:54)
VGL,F,1,0,1, 	(03-MAR-2025 12:33:54)
VGL,F,1,0,2, 	(03-MAR-2025 12:33:54)
PGPGPL,F,1,0,2, 	(03-MAR-2025 12:33:54)
PGPGPL,F,1,0,1, 	(03-MAR-2025 12:33:54)
HCG,F,1,0,1, 	(03-MAR-2025 12:33:54)
GGL,F,1,0,1, 	(03-MAR-2025 12:33:54)
PipeInfra,F,1,0,5, 	(03-MAR-2025 12:33:54)
PipeInfra,F,1,0,6, 	(03-MAR-2025 12:33:54)
HSIL,F,1,0,1, 	(03-MAR-2025 12:33:54)
RIPL,F,1,0,1, 	(03-MAR-2025 12:33:54)
CP,F,1,0,1, 	(03-MAR-2025 12:33:54)
CP,F,2,0,2, 	(03-MAR-2025 12:33:54)
CP,F,1,0,2, 	(03-MAR-2025 12:33:54)
CP,F,2,0,1, 	(03-MAR-2025 12:33:54)
CP,F,3,0,1, 	(03-MAR-2025 12:33:54)
CP,F,3,0,2, 	(03-MAR-2025 12:33:54)

TOTAL DATA EXTRACTED :,97,,,, 	(03-MAR-2025 12:33:54)
 
<<END>>,<<FMS_AGMT_PLANT>>,,,, 	(03-MAR-2025 12:33:54)
 
