
<<START>>,<<FMS_SECURITY_DEAL_MAP>>,,,,, 	(03-JUN-2025 11:32:58)
 
 COUNTERPARTY_CD, SEQ_NO, MAP_SEQ_NO, SEQ_REV_NO, GX ,  CONT_TYPE,TIMESTAMP
70,2,1,K,S, 	(03-JUN-2025 11:33:00)
70,3,1,K,S, 	(03-JUN-2025 11:33:00)
70,4,1,K,S, 	(03-JUN-2025 11:33:00)
70,5,1,K,S, 	(03-JUN-2025 11:33:00)
70,6,1,K,S, 	(03-JUN-2025 11:33:00)
70,7,1,K,S, 	(03-JUN-2025 11:33:00)
70,8,1,K,S, 	(03-JUN-2025 11:33:00)
70,9,1,K,S, 	(03-JUN-2025 11:33:00)
70,10,1,K,S, 	(03-JUN-2025 11:33:00)
70,11,1,K,S, 	(03-JUN-2025 11:33:00)
70,12,1,K,S, 	(03-JUN-2025 11:33:00)
70,13,1,K,S, 	(03-JUN-2025 11:33:00)
71,1,1,K,S, 	(03-JUN-2025 11:33:00)
71,2,1,K,S, 	(03-JUN-2025 11:33:00)
71,3,1,K,S, 	(03-JUN-2025 11:33:00)
71,4,1,K,S, 	(03-JUN-2025 11:33:00)
71,5,1,K,S, 	(03-JUN-2025 11:33:00)
71,6,1,K,S, 	(03-JUN-2025 11:33:00)
71,7,1,K,S, 	(03-JUN-2025 11:33:00)
71,8,1,K,S, 	(03-JUN-2025 11:33:00)
71,9,1,K,S, 	(03-JUN-2025 11:33:00)
72,1,1,K,S, 	(03-JUN-2025 11:33:00)
