
<<START>>,<<FMS_ENTITY_ADDR_MST>>,,,, 	(01-MAR-2025 10:29:31)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ADRESS_TYPE,ENTITY,EFF_DATE,TIMESTAMP
STL , 74 , R , C , 25/08/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
STL , 74 , B , C , 25/08/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
STL , 74 , C , C , 25/08/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
UEPL , 75 , R , C , 03/09/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
CELLO , 76 , R , C , 01/12/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
CELLO , 76 , B , C , 01/12/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
CELLO , 76 , C , C , 01/12/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
CALDERYS , 77 , R , C , 20/12/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
CALDERYS , 77 , B , C , 20/12/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
CALDERYS , 77 , C , C , 20/12/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
RCF , 78 , R , C , 30/12/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
RCF , 78 , B , C , 30/12/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
RCF , 78 , C , C , 30/12/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
BWRL , 79 , R , C , 25/01/2022 00:00:00 ,  	(01-MAR-2025 10:29:34)
BWRL , 79 , B , C , 25/01/2022 00:00:00 ,  	(01-MAR-2025 10:29:34)
BWRL , 79 , C , C , 25/01/2022 00:00:00 ,  	(01-MAR-2025 10:29:34)
KRYO , 80 , R , C , 31/01/2022 00:00:00 ,  	(01-MAR-2025 10:29:34)
VIRGO , 81 , C , C , 12/02/2022 00:00:00 ,  	(01-MAR-2025 10:29:34)
