
<<START>>,<<FMS_PUR_SG_INV_MST>>,,, 	(19-FEB-2026 17:12:06)
 
CARGO_REF_NO, INVOICE_NO, INVOICE_DT, REMARK,FINANCIAL_YEAR,CONTRACT_TYPE,TIMESTAMP
11014,T0032214,19/08/2013 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11014,T0032214,19/08/2013 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11015,T0032467,01/10/2013 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11015,T0032467,01/10/2013 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11016,T0032993,13/11/2013 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11016,T0032993,13/11/2013 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11011,T0031040,10/04/2013 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11012,T0031364,28/05/2013 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11013,T0031656,03/07/2013 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11014,T0032224,28/08/2013 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11015,T0032646,07/10/2013 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11016,T0033021,22/11/2013 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11011,null,04/04/2013 00:00:00,As per Excel calculation,2011-2012,N, 	(19-FEB-2026 17:12:11)
11012,null,17/05/2013 00:00:00,This is as per the amount paid as per EDI System calculation,2011-2012,N, 	(19-FEB-2026 17:12:11)
11013,null,25/06/2013 00:00:00,This is the exact amount paid as custom duty as per EDI system.,2011-2012,N, 	(19-FEB-2026 17:12:11)
11014,null,23/08/2013 00:00:00,Roundedupto to tally teh excel value with teh value paid as per EDI System.,2011-2012,N, 	(19-FEB-2026 17:12:11)
11015,null,03/10/2013 00:00:00,The excel calculation is matched with the PD Bond value,2011-2012,N, 	(19-FEB-2026 17:12:11)
11016,null,16/11/2013 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11011,null,26/04/2013 00:00:00,Values matched with excel calculation.,2011-2012,N, 	(19-FEB-2026 17:12:11)
11012,null,30/05/2013 00:00:00,Roundedup value for refund is Rs. 594,667, Differential CD is [-0.47],2011-2012,N, 	(19-FEB-2026 17:12:11)
11013,null,04/07/2013 00:00:00,Roundedup value for refund is Rs. 951064, Differential CD is [-0.96],2011-2012,N, 	(19-FEB-2026 17:12:11)
11014,null,29/08/2013 00:00:00,Roundedup value for refund is Rs. 219931, Differential CD is [0.64],2011-2012,N, 	(19-FEB-2026 17:12:11)
11015,null,09/10/2013 00:00:00,Rounded up to match the excel value.,2011-2012,N, 	(19-FEB-2026 17:12:11)
11016,null,26/11/2013 00:00:00,Roundedup to match with excel value,2011-2012,N, 	(19-FEB-2026 17:12:11)
11006,T0024513,08/06/2011 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11006,T0024513,08/06/2011 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11006,T0024574,17/06/2011 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11006,null,10/06/2011 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11006,null,22/06/2011 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11008,T0026821,23/01/2012 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11008,T0026821,23/01/2012 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11009,T0027847,08/05/2012 00:00:00,Due to change in process,EDQ taken fm B/L. B/L no. QG2-TFR01-2011-013-01,endorsed on 8th May,12,2011-2012,N, 	(19-FEB-2026 17:12:11)
11009,T0027847,08/05/2012 00:00:00,Due to change in process,EDQ taken fm B/L. B/L no. QG2-TFR01-2011-013-01,endorsed on 8th May,12,2011-2012,N, 	(19-FEB-2026 17:12:11)
11010,T0028503,23/07/2012 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11010,T0028503,23/07/2012 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11008,T0026849,02/02/2012 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11009,T0027964,22/05/2012 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11010,T0028517,30/07/2012 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11008,null,27/01/2012 00:00:00,null,2011-2012,N, 	(19-FEB-2026 17:12:11)
11009,null,10/05/2012 00:00:00,Due to the change in Custom EDI system additional cess Rs.63644.82 being paid in custom duty,2011-2012,N, 	(19-FEB-2026 17:12:11)
11010,null,24/07/2012 00:00:00,Rounded off & tallied with custom EDI system value,2011-2012,N, 	(19-FEB-2026 17:12:11)
11008,null,08/02/2012 00:00:00,Rounding of the actual value is Rs. 2585087.00 for which the cheque needs to be prepared.,2011-2012,N, 	(19-FEB-2026 17:12:11)
11009,null,11/05/2012 00:00:00,The Differential CD is the additional amount paid as the provisional custom duty which is reflected as Differential CD in Provisional customs duty payment window too.,2011-2012,N, 	(19-FEB-2026 17:12:11)
11010,null,25/07/2012 00:00:00,The Differential CD to be rounded off which will be the total refund value from the custom duty paid.,2011-2012,N, 	(19-FEB-2026 17:12:11)
5001,20050324,24/03/2005 00:00:00,Actual data,2004-2005,N, 	(19-FEB-2026 17:12:11)
5001,20050324,24/03/2005 00:00:00,Actual data,2004-2005,N, 	(19-FEB-2026 17:12:11)
5001,20050324(Suppl),26/05/2005 00:00:00,null,2004-2005,N, 	(19-FEB-2026 17:12:11)
5001,1648,30/03/2005 00:00:00,null,2004-2005,N, 	(19-FEB-2026 17:12:11)
5001,336/05-05,20/06/2005 00:00:00,null,2004-2005,N, 	(19-FEB-2026 17:12:11)
5003,91043925,28/09/2005 00:00:00,Actual Data,2005-2006,N, 	(19-FEB-2026 17:12:11)
5003,91043925,28/09/2005 00:00:00,Actual Data,2005-2006,N, 	(19-FEB-2026 17:12:11)
5003,90193304,12/10/2005 00:00:00,null,2005-2006,N, 	(19-FEB-2026 17:12:11)
5003,705/05-06,03/10/2005 00:00:00,null,2005-2006,N, 	(19-FEB-2026 17:12:11)
5003,787/05-06,19/10/2005 00:00:00,null,2005-2006,N, 	(19-FEB-2026 17:12:11)
6001,90211648,11/04/2006 00:00:00,null,2005-2006,N, 	(19-FEB-2026 17:12:11)
6001,90211648,11/04/2006 00:00:00,null,2005-2006,N, 	(19-FEB-2026 17:12:11)
6001,NA,20/04/2006 00:00:00,null,2005-2006,N, 	(19-FEB-2026 17:12:11)
6001,116/06-07,12/04/2006 00:00:00,null,2005-2006,N, 	(19-FEB-2026 17:12:11)
7001,91055681/P,19/01/2007 00:00:00,null,2006-2007,N, 	(19-FEB-2026 17:12:11)
7001,91055681/P,19/01/2007 00:00:00,null,2006-2007,N, 	(19-FEB-2026 17:12:11)
