

<<START>>,<<FMS_SUPPLY_CONT_MST>>,,, 	(12-SEP-2025 10:51:31)
 
COUNTERPARTY_ABBR,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
GSPCL,1,3,83,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,78,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,102,2,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,102,3,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,111,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,114,2,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,104,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,105,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,106,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,112,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,113,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,114,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,116,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,117,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,118,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,107,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,108,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,109,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,110,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,114,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,103,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,115,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,119,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,123,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,123,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,120,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,121,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,2,0,1,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,2,0,2,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,3,1,1,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,4,124,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,1,4,125,0,S, 	(12-SEP-2025 10:51:33)
GSPCL,0,3,4,0,X, 	(12-SEP-2025 10:51:33)
GSPCL,0,3,2,0,X, 	(12-SEP-2025 10:51:33)
GSPCL,0,3,3,0,X, 	(12-SEP-2025 10:51:33)
GSPCL,0,3,5,0,X, 	(12-SEP-2025 10:51:33)
GSPCL,0,3,8,0,X, 	(12-SEP-2025 10:51:33)
GSPCL,0,3,9,0,X, 	(12-SEP-2025 10:51:33)
GSPCL,0,3,10,0,X, 	(12-SEP-2025 10:51:33)
GSPCL,0,3,11,0,X, 	(12-SEP-2025 10:51:33)
GSPCL,0,3,12,0,X, 	(12-SEP-2025 10:51:33)
GSPCL,0,3,1,0,X, 	(12-SEP-2025 10:51:33)
GSPCL,0,3,6,0,X, 	(12-SEP-2025 10:51:33)
GSPCL,0,3,7,0,X, 	(12-SEP-2025 10:51:33)
GSPCL,0,3,13,0,X, 	(12-SEP-2025 10:51:33)
Gail,1,0,8,0,S, 	(12-SEP-2025 10:51:33)
Gail,1,0,9,0,S, 	(12-SEP-2025 10:51:33)
Gail,1,0,10,0,S, 	(12-SEP-2025 10:51:33)
Gail,1,0,11,0,S, 	(12-SEP-2025 10:51:33)
Gail,1,0,12,0,S, 	(12-SEP-2025 10:51:33)
Gail,1,0,13,0,S, 	(12-SEP-2025 10:51:33)
Gail,1,0,14,0,S, 	(12-SEP-2025 10:51:33)
Gail,1,0,15,0,S, 	(12-SEP-2025 10:51:33)
Gail,1,0,3,0,S, 	(12-SEP-2025 10:51:33)
Gail,1,0,4,0,S, 	(12-SEP-2025 10:51:34)
Gail,1,0,6,0,S, 	(12-SEP-2025 10:51:34)
Gail,1,0,1,0,S, 	(12-SEP-2025 10:51:34)
Gail,1,0,2,0,S, 	(12-SEP-2025 10:51:34)
Gail,1,0,5,0,S, 	(12-SEP-2025 10:51:34)
Gail,1,0,7,0,S, 	(12-SEP-2025 10:51:34)
Gail,2,1,2,0,S, 	(12-SEP-2025 10:51:34)
Gail,2,1,1,0,S, 	(12-SEP-2025 10:51:34)
Gail,1,0,23,0,S, 	(12-SEP-2025 10:51:34)
Gail,1,0,24,0,S, 	(12-SEP-2025 10:51:34)
Gail,1,0,22,0,S, 	(12-SEP-2025 10:51:34)
Gail,1,0,16,0,S, 	(12-SEP-2025 10:51:34)
Gail,1,0,17,0,S, 	(12-SEP-2025 10:51:34)
Gail,1,0,18,0,S, 	(12-SEP-2025 10:51:34)
