
<<START>>,<<FMS_PUR_SG_INV_MST>>,,, 	(28-APR-2025 13:49:32)
 
CARGO_REF_NO, INVOICE_NO, INVOICE_DT, EXP_DELV_QTY, REMARK,TIMESTAMP
6008,null,null,16/01/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
6008,null,null,16/01/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
6008,null,null,16/01/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
7002,null,null,06/05/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
7002,null,null,06/05/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
7002,null,null,06/05/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
7002,null,null,06/05/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
7002,null,null,06/05/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
6007,null,null,03/01/2006 00:00:00,null, 	(28-APR-2025 13:49:37)
6007,null,null,03/01/2006 00:00:00,null, 	(28-APR-2025 13:49:37)
6007,null,null,03/01/2006 00:00:00,null, 	(28-APR-2025 13:49:37)
6007,null,null,03/01/2006 00:00:00,null, 	(28-APR-2025 13:49:37)
7003,null,null,24/05/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
7003,null,null,24/05/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
7003,null,null,24/05/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
7003,null,null,24/05/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
7003,null,null,24/05/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
6006,null,null,07/12/2006 00:00:00,null, 	(28-APR-2025 13:49:37)
6006,null,null,07/12/2006 00:00:00,null, 	(28-APR-2025 13:49:37)
6006,null,null,07/12/2006 00:00:00,null, 	(28-APR-2025 13:49:37)
6006,null,null,07/12/2006 00:00:00,null, 	(28-APR-2025 13:49:37)
6006,null,null,07/12/2006 00:00:00,null, 	(28-APR-2025 13:49:37)
6004,null,null,18/07/2006 00:00:00,null, 	(28-APR-2025 13:49:37)
6004,null,null,18/07/2006 00:00:00,null, 	(28-APR-2025 13:49:37)
6004,null,null,22/07/2006 00:00:00,null, 	(28-APR-2025 13:49:37)
6004,null,null,18/07/2006 00:00:00,null, 	(28-APR-2025 13:49:37)
7005,null,null,13/06/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
7005,null,null,13/06/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
7005,null,null,13/06/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
7005,null,null,13/06/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
7005,null,null,13/06/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
6010,null,null,20/02/2007 00:00:00,null, 	(28-APR-2025 13:49:37)
